Microsoft (R) Windows Script Host Version 5.812
Copyright (C) Microsoft Corporation. All rights reserved.

year 2022, quarter 1, ticker AAF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker GWF, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker GWG, open 9, close 7, change -2, change% -22.2222222222222
year 2022, quarter 1, ticker GWL, open 63, close 60, change -3, change% -4.76190476190476
year 2022, quarter 1, ticker GWY, open 66, close 67, change 1, change% 1.51515151515152
year 2022, quarter 1, ticker GYD, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker GYO, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker GZS, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker GZW, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker HBWV, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker HBX, open 9, close 8, change -1, change% -11.1111111111111
year 2022, quarter 1, ticker HCIZ, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker HCJ, open 19, close 17, change -2, change% -10.5263157894737
year 2022, quarter 1, ticker HDSM, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker HEB, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker HEG, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker HEGF, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker HETZ, open 57, close 57, change 0, change% 0
year 2022, quarter 1, ticker HFB, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker HFFB, open 111, close 106, change -5, change% -4.5045045045045
year 2022, quarter 1, ticker HFN, open 27, close 28, change 1, change% 3.7037037037037
year 2022, quarter 1, ticker HFP, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker HFW, open 80, close 80, change 0, change% 0
year 2022, quarter 1, ticker HFX, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker HGIW, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker HGK, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker HGN, open 134, close 134, change 0, change% 0
year 2022, quarter 1, ticker HHN, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker HIQE, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker HIU, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker HIWV, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker HIZA, open 7, close 9, change 2, change% 28.5714285714286
year 2022, quarter 1, ticker HJC, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker HJIU, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker HJY, open 4, close 3, change -1, change% -25
year 2022, quarter 1, ticker HJZ, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker HK, open 54, close 54, change 0, change% 0
year 2022, quarter 1, ticker HLG, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker HLMJ, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker HLOG, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker HLW, open 34, close 33, change -1, change% -2.94117647058824
year 2022, quarter 1, ticker HMV, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker HNC, open 104, close 109, change 5, change% 4.80769230769231
year 2022, quarter 1, ticker HQD, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker HQF, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker HQO, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker HRL, open 264, close 255, change -9, change% -3.40909090909091
year 2022, quarter 1, ticker HRP, open 27, close 28, change 1, change% 3.7037037037037
year 2022, quarter 1, ticker HRT, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker HRV, open 84, close 85, change 1, change% 1.19047619047619
year 2022, quarter 1, ticker HSDT, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker HSE, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker HUC, open 43, close 43, change 0, change% 0
year 2022, quarter 1, ticker HUCF, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker HWX, open 20, close 16, change -4, change% -20
year 2022, quarter 1, ticker HX, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker HXN, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker HXZE, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker HYUQ, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker HZEZ, open 141, close 141, change 0, change% 0
year 2022, quarter 1, ticker IAG, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker IAL, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker IARX, open 53, close 57, change 4, change% 7.54716981132075
year 2022, quarter 1, ticker IAS, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker ICG, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker ICXU, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker IDBU, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker IDMQ, open 46, close 46, change 0, change% 0
year 2022, quarter 1, ticker IDZP, open 49, close 51, change 2, change% 4.08163265306122
year 2022, quarter 1, ticker IEB, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker IEGY, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker IEL, open 52, close 53, change 1, change% 1.92307692307692
year 2022, quarter 1, ticker IEYJ, open 64, close 69, change 5, change% 7.8125
year 2022, quarter 1, ticker IEZ, open 44, close 44, change 0, change% 0
year 2022, quarter 1, ticker IFA, open 65, close 65, change 0, change% 0
year 2022, quarter 1, ticker IFH, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker IFM, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker IFW, open 75, close 71, change -4, change% -5.33333333333333
year 2022, quarter 1, ticker IFY, open 70, close 68, change -2, change% -2.85714285714286
year 2022, quarter 1, ticker IGDO, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker IGJL, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker IHA, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker IHU, open 81, close 83, change 2, change% 2.46913580246914
year 2022, quarter 1, ticker IIH, open 170, close 144, change -26, change% -15.2941176470588
year 2022, quarter 1, ticker IIP, open 61, close 62, change 1, change% 1.63934426229508
year 2022, quarter 1, ticker IJWF, open 15, close 16, change 1, change% 6.66666666666667
year 2022, quarter 1, ticker IJZ, open 81, close 80, change -1, change% -1.23456790123457
year 2022, quarter 1, ticker IKKY, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker IKR, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker ILAB, open 99, close 97, change -2, change% -2.02020202020202
year 2022, quarter 1, ticker ILH, open 49, close 50, change 1, change% 2.04081632653061
year 2022, quarter 1, ticker ILQ, open 28, close 26, change -2, change% -7.14285714285714
year 2022, quarter 1, ticker ILV, open 61, close 59, change -2, change% -3.27868852459016
year 2022, quarter 1, ticker IME, open 39, close 38, change -1, change% -2.56410256410256
year 2022, quarter 1, ticker IMR, open 106, close 115, change 9, change% 8.49056603773585
year 2022, quarter 1, ticker INHF, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker INJ, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker IOHH, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker IOL, open 23, close 24, change 1, change% 4.34782608695652
year 2022, quarter 1, ticker IPY, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker IQOD, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker IRF, open 33, close 32, change -1, change% -3.03030303030303
year 2022, quarter 1, ticker IRI, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker ISDO, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker ISGH, open 26, close 28, change 2, change% 7.69230769230769
year 2022, quarter 1, ticker ISQQ, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker ITB, open 75, close 75, change 0, change% 0
year 2022, quarter 1, ticker ITE, open 20, close 18, change -2, change% -10
year 2022, quarter 1, ticker ITL, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker ITY, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker IUA, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker IUOZ, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker IUQ, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker IUZ, open 34, close 34, change 0, change% 0
year 2022, quarter 1, ticker IVT, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker IWNU, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker IXBJ, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker IXL, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker IXR, open 37, close 36, change -1, change% -2.7027027027027
year 2022, quarter 1, ticker IYD, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker IYY, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker IZBJ, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker IZCA, open 26, close 27, change 1, change% 3.84615384615385
year 2022, quarter 1, ticker IZO, open 29, close 30, change 1, change% 3.44827586206897
year 2022, quarter 1, ticker IZOT, open 84, close 83, change -1, change% -1.19047619047619
year 2022, quarter 1, ticker IZR, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker JAJ, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker JAO, open 71, close 75, change 4, change% 5.63380281690141
year 2022, quarter 1, ticker JAOY, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker JBB, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker JBY, open 7, close 8, change 1, change% 14.2857142857143
year 2022, quarter 1, ticker JBZF, open 15, close 13, change -2, change% -13.3333333333333
year 2022, quarter 1, ticker JCG, open 105, close 113, change 8, change% 7.61904761904762
year 2022, quarter 1, ticker JCQ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker JCS, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker JCWB, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker JDGU, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker JDS, open 23, close 20, change -3, change% -13.0434782608696
year 2022, quarter 1, ticker JDY, open 19, close 22, change 3, change% 15.7894736842105
year 2022, quarter 1, ticker JEJ, open 116, close 113, change -3, change% -2.58620689655172
year 2022, quarter 1, ticker JEX, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker JFJ, open 54, close 57, change 3, change% 5.55555555555556
year 2022, quarter 1, ticker JFK, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker JFL, open 22, close 23, change 1, change% 4.54545454545455
year 2022, quarter 1, ticker JFX, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker JGG, open 22, close 23, change 1, change% 4.54545454545455
year 2022, quarter 1, ticker JGJ, open 150, close 149, change -1, change% -0.666666666666667
year 2022, quarter 1, ticker JGY, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker JH, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker JHP, open 22, close 23, change 1, change% 4.54545454545455
year 2022, quarter 1, ticker JIO, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker JJGI, open 117, close 113, change -4, change% -3.41880341880342
year 2022, quarter 1, ticker JJI, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker JKH, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker JKL, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker JKM, open 67, close 66, change -1, change% -1.49253731343284
year 2022, quarter 1, ticker JKNM, open 60, close 59, change -1, change% -1.66666666666667
year 2022, quarter 1, ticker JKO, open 57, close 56, change -1, change% -1.75438596491228
year 2022, quarter 1, ticker JKQ, open 41, close 38, change -3, change% -7.31707317073171
year 2022, quarter 1, ticker JKR, open 54, close 53, change -1, change% -1.85185185185185
year 2022, quarter 1, ticker JKS, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker JLG, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker JLI, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker JLZO, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker JMA, open 27, close 28, change 1, change% 3.7037037037037
year 2022, quarter 1, ticker JMCA, open 78, close 74, change -4, change% -5.12820512820513
year 2022, quarter 1, ticker JMG, open 57, close 59, change 2, change% 3.50877192982456
year 2022, quarter 1, ticker JMX, open 34, close 35, change 1, change% 2.94117647058824
year 2022, quarter 1, ticker JN, open 19, close 16, change -3, change% -15.7894736842105
year 2022, quarter 1, ticker JNBK, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker JNG, open 63, close 61, change -2, change% -3.17460317460317
year 2022, quarter 1, ticker JOCP, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker JOI, open 7, close 8, change 1, change% 14.2857142857143
year 2022, quarter 1, ticker JOR, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker JPQW, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker JPT, open 41, close 40, change -1, change% -2.4390243902439
year 2022, quarter 1, ticker JQV, open 35, close 35, change 0, change% 0
year 2022, quarter 1, ticker JRO, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker JSK, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker JTNM, open 36, close 39, change 3, change% 8.33333333333333
year 2022, quarter 1, ticker JTQ, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker JTS, open 62, close 63, change 1, change% 1.61290322580645
year 2022, quarter 1, ticker JUAY, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker JUQI, open 18, close 20, change 2, change% 11.1111111111111
year 2022, quarter 1, ticker JUU, open 35, close 35, change 0, change% 0
year 2022, quarter 1, ticker JUY, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker JVDJ, open 32, close 33, change 1, change% 3.125
year 2022, quarter 1, ticker JVK, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker JVP, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker JVSP, open 37, close 42, change 5, change% 13.5135135135135
year 2022, quarter 1, ticker JVZ, open 53, close 57, change 4, change% 7.54716981132075
year 2022, quarter 1, ticker JWB, open 44, close 42, change -2, change% -4.54545454545455
year 2022, quarter 1, ticker JWI, open 3, close 4, change 1, change% 33.3333333333333
year 2022, quarter 1, ticker JXM, open 4, close 5, change 1, change% 25
year 2022, quarter 1, ticker JXMP, open 104, close 84, change -20, change% -19.2307692307692
year 2022, quarter 1, ticker JY, open 47, close 47, change 0, change% 0
year 2022, quarter 1, ticker JYFV, open 44, close 45, change 1, change% 2.27272727272727
year 2022, quarter 1, ticker JYH, open 50, close 48, change -2, change% -4
year 2022, quarter 1, ticker JYJ, open 25, close 24, change -1, change% -4
year 2022, quarter 1, ticker JZIR, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker KAHF, open 102, close 100, change -2, change% -1.96078431372549
year 2022, quarter 1, ticker KAK, open 29, close 30, change 1, change% 3.44827586206897
year 2022, quarter 1, ticker KBH, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker KCE, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker KCN, open 20, close 19, change -1, change% -5
year 2022, quarter 1, ticker KDA, open 65, close 60, change -5, change% -7.69230769230769
year 2022, quarter 1, ticker KDMS, open 25, close 26, change 1, change% 4
year 2022, quarter 1, ticker KDV, open 44, close 43, change -1, change% -2.27272727272727
year 2022, quarter 1, ticker KEK, open 72, close 71, change -1, change% -1.38888888888889
year 2022, quarter 1, ticker KFH, open 55, close 54, change -1, change% -1.81818181818182
year 2022, quarter 1, ticker KFU, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker KFX, open 129, close 131, change 2, change% 1.55038759689922
year 2022, quarter 1, ticker KGJ, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker KGU, open 32, close 24, change -8, change% -25
year 2022, quarter 1, ticker KGZ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker KH, open 49, close 51, change 2, change% 4.08163265306122
year 2022, quarter 1, ticker KHH, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker KIG, open 182, close 173, change -9, change% -4.94505494505495
year 2022, quarter 1, ticker KIIB, open 81, close 79, change -2, change% -2.46913580246914
year 2022, quarter 1, ticker KIR, open 22, close 23, change 1, change% 4.54545454545455
year 2022, quarter 1, ticker KJD, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker KJI, open 15, close 16, change 1, change% 6.66666666666667
year 2022, quarter 1, ticker KJQ, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker KJS, open 41, close 38, change -3, change% -7.31707317073171
year 2022, quarter 1, ticker KJU, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker KKIO, open 103, close 107, change 4, change% 3.88349514563107
year 2022, quarter 1, ticker KMB, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker KMH, open 9, close 12, change 3, change% 33.3333333333333
year 2022, quarter 1, ticker KNC, open 152, close 150, change -2, change% -1.31578947368421
year 2022, quarter 1, ticker KNG, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker KNOC, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker KNT, open 35, close 30, change -5, change% -14.2857142857143
year 2022, quarter 1, ticker KOC, open 127, close 121, change -6, change% -4.7244094488189
year 2022, quarter 1, ticker KOK, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker KOV, open 75, close 78, change 3, change% 4
year 2022, quarter 1, ticker KOY, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker KPFH, open 4, close 5, change 1, change% 25
year 2022, quarter 1, ticker KPG, open 63, close 58, change -5, change% -7.93650793650794
year 2022, quarter 1, ticker KPW, open 15, close 14, change -1, change% -6.66666666666667
year 2022, quarter 1, ticker KQH, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker KQO, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker KQS, open 22, close 26, change 4, change% 18.1818181818182
year 2022, quarter 1, ticker KQWC, open 151, close 151, change 0, change% 0
year 2022, quarter 1, ticker KRX, open 23, close 32, change 9, change% 39.1304347826087
year 2022, quarter 1, ticker KRY, open 43, close 41, change -2, change% -4.65116279069767
year 2022, quarter 1, ticker KS, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker KTR, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker KTY, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker KUF, open 59, close 57, change -2, change% -3.38983050847458
year 2022, quarter 1, ticker KUG, open 15, close 16, change 1, change% 6.66666666666667
year 2022, quarter 1, ticker KUH, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker KUS, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker KUW, open 35, close 32, change -3, change% -8.57142857142857
year 2022, quarter 1, ticker KUZ, open 10, close 11, change 1, change% 10
year 2022, quarter 1, ticker KVAW, open 157, close 152, change -5, change% -3.18471337579618
year 2022, quarter 1, ticker KVH, open 58, close 58, change 0, change% 0
year 2022, quarter 1, ticker KVU, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker KWJ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker KXLZ, open 45, close 44, change -1, change% -2.22222222222222
year 2022, quarter 1, ticker KXU, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker KYER, open 18, close 19, change 1, change% 5.55555555555556
year 2022, quarter 1, ticker KYP, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker KZ, open 33, close 34, change 1, change% 3.03030303030303
year 2022, quarter 1, ticker KZO, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker KZQ, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker LAHN, open 23, close 24, change 1, change% 4.34782608695652
year 2022, quarter 1, ticker LAL, open 50, close 52, change 2, change% 4
year 2022, quarter 1, ticker LARA, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker LBKF, open 35, close 29, change -6, change% -17.1428571428571
year 2022, quarter 1, ticker LBT, open 44, close 43, change -1, change% -2.27272727272727
year 2022, quarter 1, ticker LCC, open 70, close 69, change -1, change% -1.42857142857143
year 2022, quarter 1, ticker LDW, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker LDZ, open 109, close 103, change -6, change% -5.5045871559633
year 2022, quarter 1, ticker LEM, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker LFEU, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker LFN, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker LFQ, open 70, close 63, change -7, change% -10
year 2022, quarter 1, ticker LGY, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker LHDU, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker LHI, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker LJQ, open 78, close 82, change 4, change% 5.12820512820513
year 2022, quarter 1, ticker LJR, open 6, close 5, change -1, change% -16.6666666666667
year 2022, quarter 1, ticker LKJ, open 1, close 1, change 0, change% 0
year 2022, quarter 1, ticker LKM, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker LKSX, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker LLS, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker LMJC, open 43, close 46, change 3, change% 6.97674418604651
year 2022, quarter 1, ticker LMN, open 7, close 6, change -1, change% -14.2857142857143
year 2022, quarter 1, ticker LMOF, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker LNKE, open 84, close 85, change 1, change% 1.19047619047619
year 2022, quarter 1, ticker LNKS, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker LNM, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker LNP, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker LOJ, open 46, close 50, change 4, change% 8.69565217391304
year 2022, quarter 1, ticker LOL, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker LPJ, open 146, close 153, change 7, change% 4.79452054794521
year 2022, quarter 1, ticker LPNX, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker LQFK, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker LQS, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker LQX, open 33, close 26, change -7, change% -21.2121212121212
year 2022, quarter 1, ticker LRL, open 96, close 105, change 9, change% 9.375
year 2022, quarter 1, ticker LSA, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker LSB, open 62, close 62, change 0, change% 0
year 2022, quarter 1, ticker LSD, open 32, close 33, change 1, change% 3.125
year 2022, quarter 1, ticker LSO, open 35, close 30, change -5, change% -14.2857142857143
year 2022, quarter 1, ticker LTE, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker LTPP, open 28, close 31, change 3, change% 10.7142857142857
year 2022, quarter 1, ticker LULR, open 89, close 89, change 0, change% 0
year 2022, quarter 1, ticker LUY, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker LUZ, open 138, close 151, change 13, change% 9.42028985507246
year 2022, quarter 1, ticker LVD, open 35, close 34, change -1, change% -2.85714285714286
year 2022, quarter 1, ticker LWB, open 79, close 77, change -2, change% -2.53164556962025
year 2022, quarter 1, ticker LWQ, open 19, close 21, change 2, change% 10.5263157894737
year 2022, quarter 1, ticker LXV, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker LYEX, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker LYHN, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker LYW, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker LYWV, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker LZSC, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker MAEK, open 88, close 89, change 1, change% 1.13636363636364
year 2022, quarter 1, ticker MAI, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker MAJ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker MAMJ, open 37, close 37, change 0, change% 0
year 2022, quarter 1, ticker MAPN, open 137, close 134, change -3, change% -2.18978102189781
year 2022, quarter 1, ticker MBA, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker MBN, open 39, close 40, change 1, change% 2.56410256410256
year 2022, quarter 1, ticker MBU, open 17, close 15, change -2, change% -11.7647058823529
year 2022, quarter 1, ticker MDG, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker MDL, open 5, close 4, change -1, change% -20
year 2022, quarter 1, ticker MDR, open 58, close 57, change -1, change% -1.72413793103448
year 2022, quarter 1, ticker MEHX, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker MFQ, open 9, close 7, change -2, change% -22.2222222222222
year 2022, quarter 1, ticker MFV, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker MFW, open 35, close 38, change 3, change% 8.57142857142857
year 2022, quarter 1, ticker MFZQ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker MGB, open 50, close 51, change 1, change% 2
year 2022, quarter 1, ticker MGNR, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker MGV, open 7, close 6, change -1, change% -14.2857142857143
year 2022, quarter 1, ticker MHI, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker MHK, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker MHP, open 28, close 29, change 1, change% 3.57142857142857
year 2022, quarter 1, ticker MHV, open 46, close 52, change 6, change% 13.0434782608696
year 2022, quarter 1, ticker MIQ, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker MIY, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker MJW, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker MJZ, open 36, close 36, change 0, change% 0
year 2022, quarter 1, ticker MKQ, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker MKY, open 80, close 82, change 2, change% 2.5
year 2022, quarter 1, ticker MLIN, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker MLM, open 40, close 40, change 0, change% 0
year 2022, quarter 1, ticker MMD, open 5, close 6, change 1, change% 20
year 2022, quarter 1, ticker MMFU, open 52, close 52, change 0, change% 0
year 2022, quarter 1, ticker MNB, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker MNI, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker MNM, open 34, close 32, change -2, change% -5.88235294117647
year 2022, quarter 1, ticker MNN, open 32, close 30, change -2, change% -6.25
year 2022, quarter 1, ticker MNTW, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker MNX, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker MNZ, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker MQ, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker MQH, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker MQL, open 5, close 4, change -1, change% -20
year 2022, quarter 1, ticker MQQ, open 83, close 79, change -4, change% -4.81927710843374
year 2022, quarter 1, ticker MQSN, open 115, close 130, change 15, change% 13.0434782608696
